id,prefix,category,description,created_at,updated_at
1,reserved_,B,予約タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
2,canceled_visit,B,キャンセルタグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
3,no_show_,B,未来院タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
4,breed_,C1,犬種・猫種タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
5,sex_,C1,性別タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
6,pet_birthday_,C1,誕生日タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
7,birth_year_,C1,生年タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
8,spay_neutered,C1,避妊去勢済みタグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
9,intact,C1,未避妊去勢タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
10,vaccine_,C2,ワクチンタグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
11,checkup_,C2,健診タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
12,next_checkup_,C2,次回健診タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
13,refill_due_,C2,処方箋補充期限タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
14,next_visit_,C2,次回来院タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
15,chronic_,C2,慢性疾患タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
16,cert_sent_,C3,証明書送付タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
17,post_surgery_,C3,術後フォロータグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
18,post_discharge_,C3,退院フォロータグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
19,pet_deceased_,C3,ペット死亡タグ,2026-07-06 14:59:40.504818+09,2026-07-06 14:59:40.504818+09
