id,clinic_id,name,system_key,display_order,is_active,created_at,updated_at,deleted_at
1,1,現金,cash,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,クレジットカード,credit_card,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,電子マネー,electronic_money,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,銀行振込,bank_transfer,4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,2,現金,cash,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,クレジットカード,credit_card,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,電子マネー,electronic_money,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,銀行振込,bank_transfer,4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,3,現金,cash,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,3,クレジットカード,credit_card,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,電子マネー,electronic_money,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,3,銀行振込,bank_transfer,4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,4,現金,cash,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,4,クレジットカード,credit_card,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,4,電子マネー,electronic_money,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,4,銀行振込,bank_transfer,4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
