id,clinic_id,actor_id,actor_type,action,resource,resource_id,old_value,new_value,ip_address,user_agent,metadata,created_at
1,1,10,staff,permission_rules.update,permission_groups,1,"{""can_delete"": false}","{""can_delete"": true}",192.168.1.1,Mozilla/5.0...,,2026-07-06 14:59:40.511971+09
2,1,10,staff,auth.login.success,user_accounts,10,,,192.168.1.1,Mozilla/5.0...,,2026-07-06 14:59:40.511971+09
3,1,11,staff,owner.update,owners,1,"{""phone"": ""old""}","{""phone"": ""090-1234-5678""}",192.168.1.2,Mozilla/5.0...,,2026-07-06 14:59:40.511971+09
4,1,10,staff,pet.create,pets,28,,"{""name"": ""マル""}",192.168.1.1,Mozilla/5.0...,,2026-07-06 14:59:40.511971+09
5,1,10,staff,medical_record.finalize,medical_records,1,"{""status"": ""draft""}","{""status"": ""finalized""}",192.168.1.1,Mozilla/5.0...,,2026-07-06 14:59:40.511971+09
6,1,11,staff,auth.login.failure,user_accounts,,"{""email"": ""exec@example.com""}",,192.168.1.5,PostmanRuntime/7.26.8,,2026-07-06 14:59:40.511971+09
7,1,10,staff,inventory.decrease,inventory_items,1,"{""quantity"": 50}","{""quantity"": 43}",192.168.1.10,Mozilla/5.0...,,2026-07-06 14:59:40.511971+09
8,1,10,staff,treatment.create,treatments,2,,"{""content"": ""アモキシシリン""}",192.168.1.10,Mozilla/5.0...,,2026-07-06 14:59:40.511971+09
9,1,1,staff,login,account,1,,,192.168.1.10,Mozilla/5.0...,,2026-07-06 12:59:40.511971+09
10,1,1,staff,create,medical_record,61,,,192.168.1.10,Mozilla/5.0...,,2026-07-06 13:59:40.511971+09
11,1,2,staff,update,appointment,4,,,192.168.1.11,Mozilla/5.0...,,2026-07-06 14:14:40.511971+09
12,1,1,staff,delete,shared_file,99,,,192.168.1.10,Mozilla/5.0...,,2026-07-06 14:29:40.511971+09
13,1,3,staff,close_reg,cash_register,1,,,192.168.1.12,Mozilla/5.0...,,2026-07-06 14:39:40.511971+09
14,1,1,staff,create,billing,15,,,192.168.1.10,Mozilla/5.0...,,2026-07-06 14:44:40.511971+09
15,1,2,staff,update,owner,10,,,192.168.1.11,Mozilla/5.0...,,2026-07-06 14:49:40.511971+09
16,1,1,staff,export,medical_records,,,,192.168.1.10,Mozilla/5.0...,,2026-07-06 14:54:40.511971+09
17,1,1,staff,view,audit_logs,,,,192.168.1.10,Mozilla/5.0...,,2026-07-06 14:57:40.511971+09
18,1,2,staff,update,pet,3,,,192.168.1.11,Mozilla/5.0...,,2026-07-06 14:58:40.511971+09
19,2,16,staff,login,account,16,,,172.16.0.1,Mozilla/5.0...,,2026-07-06 11:59:40.511971+09
20,2,16,staff,update,appointment,11,,,172.16.0.1,Mozilla/5.0...,,2026-07-06 12:59:40.511971+09
21,2,17,staff,create,medical_record,302,,,172.16.0.2,Mozilla/5.0...,,2026-07-06 13:59:40.511971+09
22,3,26,staff,login,account,26,,,10.0.0.5,Mozilla/5.0...,,2026-07-06 10:59:40.511971+09
23,3,26,staff,create,medical_record,401,,,10.0.0.5,Mozilla/5.0...,,2026-07-06 12:59:40.511971+09
24,1,1,staff,update,system_settings,,,,192.168.1.10,Mozilla/5.0...,,2026-07-06 09:59:40.511971+09
25,1,4,staff,login,account,4,,,192.168.1.15,Mozilla/5.0...,,2026-07-06 08:59:40.511971+09
26,2,18,staff,delete,appointment,999,,,172.16.0.3,Mozilla/5.0...,,2026-07-06 07:59:40.511971+09
27,3,27,staff,update,billing,401,,,10.0.0.6,Mozilla/5.0...,,2026-07-06 06:59:40.511971+09
28,1,2,staff,logout,account,2,,,192.168.1.11,Mozilla/5.0...,,2026-07-06 05:59:40.511971+09
29,1,1,staff,update,inventory_item,6,"{""quantity"": 30}","{""quantity"": 25}",,,,2026-07-06 14:59:40.511971+09
30,1,2,staff,update,inventory_item,22,"{""quantity"": 10}","{""quantity"": 5}",,,,2026-07-06 14:59:40.511971+09
31,1,1,staff,update,inventory_item,7,"{""quantity"": 10}","{""quantity"": 0}",,,,2026-07-06 14:59:40.511971+09
32,1,3,staff,update,inventory_item,21,"{""quantity"": 50}","{""quantity"": 48}",,,,2026-07-06 14:59:40.511971+09
33,1,1,staff,update,inventory_item,13,"{""quantity"": 70}","{""quantity"": 60}",,,,2026-07-06 14:59:40.511971+09
34,1,1,staff,create,manual_article,1,,,,,,2026-07-06 14:59:40.511971+09
35,1,1,staff,update,manual_article,2,,,,,,2026-07-06 14:59:40.511971+09
36,1,2,staff,view,manual_article,1,,,,,,2026-07-06 14:59:40.511971+09
37,1,1,staff,failed_login,account,,,,,,"{""user"": ""admin"", ""reason"": ""invalid_password""}",2026-07-06 14:59:40.511971+09
38,1,1,staff,change_password,account,1,,,,,"{""method"": ""manual""}",2026-07-06 14:59:40.511971+09
39,1,1,staff,update_permission,permission_group,1,,,,,"{""field"": ""can_delete_medical_record"", ""value"": false}",2026-07-06 14:59:40.511971+09
