id,billing_id,category,name,unit_price,quantity,tax_type,tax_rate,is_insurance_applicable,source,merchandise_item_id,treatment_id,appointment_id,trimming_course_id,trimming_option_id,discount_rate,discount_amount,sort_order,created_at,updated_at,deleted_at
1,1,other,再診料,800,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,medicine,アモキシシリン 50mg x 7日分,500,7.0,excluded,0.10,t,medical_record,,,,,,0.00,0,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,2,other,再診料,800,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,2,procedure,耳道洗浄,2500,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,other,再診料,800,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,food,ロイヤルカナン 消化器サポート 1kg,2800,1.0,excluded,0.08,f,manual,,,,,,0.00,0,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,4,examination,初診料,1500,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,4,vaccine,猫3種混合ワクチン,3000,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,5,other,再診料,800,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,5,procedure,アトピー皮膚炎処置,1500,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,5,medicine,ステロイド外用薬 30g,1200,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,6,trimming,フルトリミング（猫）,5000,1.0,excluded,0.10,f,manual,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,6,food,ヒルズ サイエンスダイエット 猫用 400g,1200,1.0,excluded,0.08,f,manual,,,,,,0.00,0,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,7,other,再診料,800,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,7,test,血液検査（CBC + 生化学）,6000,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,8,surgery,避妊手術（猫）,25000,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,9,hotel,ペットホテル（1泊）,2500,2.0,excluded,0.10,f,manual,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,10,other,再診料,800,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,10,medicine,抗菌点眼薬（5ml）,600,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,11,vaccine,狂犬病ワクチン接種,2500,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,12,medicine,点耳薬（外耳炎用）,1200,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,13,food,療法食 消化器サポート 3kg,3000,1.0,excluded,0.08,f,manual,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,14,examination,再診料,800,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,14,medicine,抗生剤・消炎剤 7日分,4200,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,15,test,生化学検査パネル12項目,8500,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,16,vaccine,犬5種混合ワクチン,4200,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,17,surgery,歯科スケーリング・ポリッシング,15000,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,18,other,爪切り・耳掃除・肛門腺,2800,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
29,19,test,心臓超音波検査（エコー）,6000,1.0,excluded,0.10,t,medical_record,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,20,other,夜間緊急対応・時間外加算,10000,1.0,excluded,0.10,f,manual,,,,,,0.00,0,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
31,301,examination,再診料,800,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
32,302,examination,初診料,1900,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
33,401,examination,再診料,800,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
34,402,examination,再診料,800,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
35,1000,examination,一般再診料,1000,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
36,1001,examination,一般再診料,1000,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
37,1002,examination,一般再診料,1000,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
38,1003,examination,一般再診料,1000,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
39,1004,examination,一般再診料,1000,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
40,1005,examination,一般初診料,3000,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
41,1006,examination,一般再診料,1000,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
42,1007,examination,一般再診料,1000,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
43,1008,examination,一般再診料,1000,1.0,excluded,0.10,f,medical_record,,,,,,0.00,0,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
