id,clinic_id,medical_record_id,hospitalization_id,owner_id,pet_id,subtotal,tax_total,total_amount,has_insurance,status,scheduled_date,completed_at,memo,created_at,updated_at,deleted_at
1,1,1,,1,1,4300,430,4730,t,completed,2026-04-27,2026-04-27 10:30:00+09,アニコム保険適用,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,3,,1,1,6100,554,6654,t,completed,2026-05-10,2026-05-10 11:00:00+09,アニコム保険適用（Iris 耳炎治療）+ フード販売,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,6,,2,3,800,80,880,t,waiting,2026-05-22,,アニコム保険適用。会計待ち。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,61,,2,3,4500,450,4950,f,completed,2026-05-22,2026-05-22 09:30:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,62,,4,6,3500,350,3850,f,completed,2026-05-22,2026-05-22 10:30:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,,,5,7,6200,596,6796,f,completed,2026-05-22,2026-05-22 11:30:00+09,トリミング来院,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,63,,8,10,6800,680,7480,t,completed,2026-05-22,2026-05-22 13:00:00+09,アニコム保険適用,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,64,,9,11,25000,2500,27500,t,completed,2026-05-22,2026-05-22 14:30:00+09,アニコム保険適用（避妊手術）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,,,10,12,5000,500,5500,f,completed,2026-05-22,2026-05-22 15:30:00+09,ペットホテル利用,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,65,,11,13,1400,140,1540,f,completed,2026-05-22,2026-05-22 16:30:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,1,66,,12,14,2500,250,2750,f,completed,2026-05-22,2026-05-22 09:45:00+09,狂犬病ワクチン,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,1,67,,13,15,1200,120,1320,f,completed,2026-05-22,2026-05-22 10:15:00+09,再診・点耳薬のみ,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,1,,,1,1,3000,240,3240,f,completed,2026-05-22,2026-05-22 11:00:00+09,フード購入のみ,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,1,68,,14,16,5000,500,5500,t,completed,2026-05-22,2026-05-22 12:30:00+09,アイペット 50%,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,1,69,,15,17,8500,850,9350,f,completed,2026-05-22,2026-05-22 13:45:00+09,血液検査フルセット,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,1,70,,16,18,4200,420,4620,f,completed,2026-05-22,2026-05-22 14:15:00+09,5種混合ワクチン,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,1,71,,17,19,15000,1500,16500,f,completed,2026-05-22,2026-05-22 15:45:00+09,歯科スケーリング,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,1,72,,18,20,2800,280,3080,f,completed,2026-05-22,2026-05-22 17:15:00+09,再診・爪切り・肛門腺,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,1,73,,18,21,6000,600,6600,t,completed,2026-05-22,2026-05-22 18:00:00+09,アニコム 70%,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,1,,,19,22,10000,1000,11000,f,completed,2026-05-22,2026-05-22 18:15:00+09,時間外・緊急,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
301,2,301,,23,29,800,80,880,f,completed,2026-05-22,2026-05-22 10:30:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
302,2,302,,24,31,1900,190,2090,f,completed,2026-05-22,2026-05-22 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
401,3,401,,31,39,800,80,880,f,completed,2026-05-22,2026-05-22 09:15:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
402,3,402,,32,40,800,80,880,f,completed,2026-05-22,2026-05-22 10:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
403,1,,,1,1,5000,500,5500,f,completed,2026-05-01,2026-05-01 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
404,1,,,1,1,5000,500,5500,f,completed,2026-05-02,2026-05-02 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
405,1,,,1,1,5000,500,5500,f,completed,2026-05-03,2026-05-03 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
406,1,,,1,1,5000,500,5500,f,completed,2026-05-04,2026-05-04 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
407,1,,,1,1,5000,500,5500,f,completed,2026-05-05,2026-05-05 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
408,1,,,1,1,5000,500,5500,f,completed,2026-05-06,2026-05-06 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
409,1,,,1,1,5000,500,5500,f,completed,2026-05-07,2026-05-07 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
410,1,,,1,1,5000,500,5500,f,completed,2026-05-08,2026-05-08 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
411,1,,,1,1,5000,500,5500,f,completed,2026-05-09,2026-05-09 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
412,1,,,1,1,5000,500,5500,f,completed,2026-05-10,2026-05-10 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
413,1,,,1,1,5000,500,5500,f,completed,2026-05-11,2026-05-11 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
414,1,,,1,1,5000,500,5500,f,completed,2026-05-12,2026-05-12 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
415,1,,,1,1,5000,500,5500,f,completed,2026-05-13,2026-05-13 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
416,1,,,1,1,5000,500,5500,f,completed,2026-05-14,2026-05-14 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
417,1,,,1,1,5000,500,5500,f,completed,2026-05-15,2026-05-15 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
418,1,,,1,1,5000,500,5500,f,completed,2026-05-16,2026-05-16 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
419,1,,,1,1,5000,500,5500,f,completed,2026-05-17,2026-05-17 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
420,1,,,1,1,5000,500,5500,f,completed,2026-05-18,2026-05-18 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
421,1,,,1,1,5000,500,5500,f,completed,2026-05-19,2026-05-19 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
422,1,,,1,1,5000,500,5500,f,completed,2026-05-20,2026-05-20 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
423,1,,,1,1,5000,500,5500,f,completed,2026-05-21,2026-05-21 11:00:00+09,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1000,1,1000,,8,10,1000,100,1100,f,waiting,2026-05-30,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1001,1,1001,,43,53,1000,100,1100,f,waiting,2026-05-30,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1002,1,1002,,17,19,1000,100,1100,f,completed,2026-05-30,2026-05-30 11:55:00+09,デモ自動生成会計,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1003,1,1003,,12,14,1000,100,1100,f,waiting,2026-05-30,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1004,1,1004,,6,8,1000,100,1100,f,waiting,2026-05-30,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1005,1,1005,,18,20,3000,300,3300,f,waiting,2026-05-30,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1006,1,1006,,39,71,1000,100,1100,f,waiting,2026-05-30,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1007,1,1007,,42,74,1000,100,1100,f,waiting,2026-05-30,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1008,1,1008,,57,67,1000,100,1100,f,waiting,2026-05-30,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1009,1,1009,,19,23,1000,100,1100,f,waiting,2026-05-30,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1010,1,1010,,4,6,3000,300,3300,f,completed,2026-05-30,2026-05-30 17:45:00+09,デモ自動生成会計,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1011,1,1011,,16,18,1000,100,1100,f,completed,2026-05-30,2026-05-30 18:15:00+09,デモ自動生成会計,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1012,1,1012,,7,9,1000,100,1100,f,completed,2026-05-30,2026-05-30 18:45:00+09,デモ自動生成会計,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1013,1,1013,,1,1,1000,100,1100,f,waiting,2026-05-30,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1014,1,1014,,22,28,1000,100,1100,f,waiting,2026-05-31,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1015,1,1015,,4,6,1000,100,1100,f,completed,2026-05-31,2026-05-31 10:00:00+09,デモ自動生成会計,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1016,1,1016,,18,21,1000,100,1100,f,waiting,2026-05-31,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1017,1,1017,,39,71,1000,100,1100,f,waiting,2026-05-31,,デモ自動生成会計（会計待ち）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2000,1,,,1,1,5000,500,5500,f,completed,2026-07-01,2026-07-01 10:00:00+09,E2E search anchor – Iris かな検索,2026-07-06 14:59:40.882499+09,2026-07-06 14:59:40.882499+09,
