id,clinic_id,name,price,is_active,description,cage_type,cage_size,sort_order,created_at,updated_at,deleted_at
1,1,ICUケージA,8000,t,酸素吸入可・重症患者用,icu,medium,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,ICUケージB,8000,t,酸素吸入可・重症患者用,icu,medium,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,犬用ケージ（小）,3000,t,小型犬・ホテル利用可,dog,small,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,犬用ケージ（中）,3500,t,中型犬・一般入院用,dog,medium,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,犬用ケージ（大）,4000,t,大型犬・術後管理用,dog,large,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,猫用ケージ（小）,3000,t,猫専用・ストレス軽減設計,cat,small,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,猫用ケージ（中）,3000,t,猫専用・ストレス軽減設計,cat,medium,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,汎用ケージA,2500,t,小動物・鳥類等対応,general,small,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,2,ICUケージ,7500,t,酸素吸入可・重症患者用,icu,medium,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,ICUケージC,8000,t,重症患者用,icu,medium,10,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,1,犬用大型A,4000,t,超大型犬対応,dog,large,11,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,1,犬用中型B,3500,t,一般入院,dog,medium,12,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,1,犬用小型B,3000,t,一般入院,dog,small,13,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,1,犬用小型C,3000,t,一般入院,dog,small,14,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
