id,hospitalization_id,type,name,description,timing,status,notes,medicine_id,procedure_id,hospitalization_plan_id,unit_price,category,sort_order,created_at,updated_at
1,1,food,療法食（消化器ケア）,1日3回、少量ずつ与える,"{morning,noon,night}",active,鶏肉不可。,,,,0,食事,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
2,1,medicine,アモキシシリン,1回1錠、朝夕食後,"{morning,night}",active,抗生剤。,1,,,500,投薬,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
3,1,instruction,バイタルチェック,1日3回測定,"{morning,noon,night}",active,異常値報告。,,,,0,観察,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
4,2,treatment,耳道洗浄,1日1回、朝に実施,{morning},completed,左耳。,,4,,2500,処置,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
5,2,item,入院管理料,小型犬1日分,{morning},completed,"",,,1,3000,入院,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
6,8,instruction,酸素濃度管理,25%維持,"{morning,noon,night}",active,"",,,,0,観察,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
7,8,instruction,術後創傷チェック,1日2回,"{morning,night}",active,"",,,,0,処置,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
8,10,instruction,酸素室管理,40%高濃度酸素,"{morning,noon,night}",active,"",,,,0,観察,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
9,10,treatment,ネブライザー,1日3回,"{morning,noon,night}",active,"",,5,,1500,処置,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
10,11,instruction,血糖値測定,食前30分,"{morning,night}",active,"",,,,1000,検査,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
11,11,medicine,インスリン投与,指定単位を皮下注射,"{morning,night}",active,"",1,,,500,投薬,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
12,13,instruction,尿量確認,都度記録,"{morning,noon,night}",active,"",,,,0,観察,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
13,13,medicine,強肝剤点滴,24時間持続点滴,{morning},active,"",1,,,2000,投薬,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
14,14,treatment,創部洗浄,1日1回,{morning},active,"",,4,,1000,処置,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
15,14,medicine,抗生剤点滴,1日2回,"{morning,night}",active,"",1,,,1000,投薬,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
