id,clinic_id,checkup_type_id,name,field_type,unit,min_value,max_value,options,is_provisional,sort_order,created_at,updated_at,deleted_at
1,1,4,歯石除去必要の有無,boolean,"",,,[],t,1,2026-07-07 00:00:00+09,2026-07-07 00:00:00+09,
2,1,4,歯石付着度スコア,number,"",0.0000,4.0000,[],t,2,2026-07-07 00:00:00+09,2026-07-07 00:00:00+09,
3,1,4,歯科ケアアドバイス,multi_select,"",,,"[{""label"": ""毎日の歯磨き"", ""value"": ""毎日の歯磨き""}, {""label"": ""デンタルガムの利用"", ""value"": ""デンタルガムの利用""}, {""label"": ""定期的なスケーリング"", ""value"": ""定期的なスケーリング""}, {""label"": ""歯科用フードへの切替"", ""value"": ""歯科用フードへの切替""}, {""label"": ""経過観察"", ""value"": ""経過観察""}]",t,3,2026-07-07 00:00:00+09,2026-07-07 00:00:00+09,
4,3,10,歯石除去必要の有無,boolean,"",,,[],t,1,2026-07-07 00:00:00+09,2026-07-07 00:00:00+09,
5,3,10,歯石付着度スコア,number,"",0.0000,4.0000,[],t,2,2026-07-07 00:00:00+09,2026-07-07 00:00:00+09,
6,3,10,歯科ケアアドバイス,multi_select,"",,,"[{""label"": ""毎日の歯磨き"", ""value"": ""毎日の歯磨き""}, {""label"": ""デンタルガムの利用"", ""value"": ""デンタルガムの利用""}, {""label"": ""定期的なスケーリング"", ""value"": ""定期的なスケーリング""}, {""label"": ""歯科用フードへの切替"", ""value"": ""歯科用フードへの切替""}, {""label"": ""経過観察"", ""value"": ""経過観察""}]",t,3,2026-07-07 00:00:00+09,2026-07-07 00:00:00+09,
7,2,11,歯石除去必要の有無,boolean,"",,,[],t,1,2026-07-07 00:00:00+09,2026-07-07 00:00:00+09,
8,2,11,歯石付着度スコア,number,"",0.0000,4.0000,[],t,2,2026-07-07 00:00:00+09,2026-07-07 00:00:00+09,
9,2,11,歯科ケアアドバイス,multi_select,"",,,"[{""label"": ""毎日の歯磨き"", ""value"": ""毎日の歯磨き""}, {""label"": ""デンタルガムの利用"", ""value"": ""デンタルガムの利用""}, {""label"": ""定期的なスケーリング"", ""value"": ""定期的なスケーリング""}, {""label"": ""歯科用フードへの切替"", ""value"": ""歯科用フードへの切替""}, {""label"": ""経過観察"", ""value"": ""経過観察""}]",t,3,2026-07-07 00:00:00+09,2026-07-07 00:00:00+09,
10,1,13,掻痒スコア,number,"",0.0000,10.0000,[],t,1,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
11,1,13,皮膚の状態,single_select,"",,,"[{""label"": ""異常なし"", ""value"": ""異常なし""}, {""label"": ""発赤・湿疹"", ""value"": ""発赤・湿疹""}, {""label"": ""フケ・乾燥"", ""value"": ""フケ・乾燥""}, {""label"": ""脱毛"", ""value"": ""脱毛""}, {""label"": ""外傷・びらん"", ""value"": ""外傷・びらん""}]",t,2,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
12,1,13,外耳の状態,single_select,"",,,"[{""label"": ""異常なし"", ""value"": ""異常なし""}, {""label"": ""耳垢増加"", ""value"": ""耳垢増加""}, {""label"": ""発赤・腫脹"", ""value"": ""発赤・腫脹""}, {""label"": ""悪臭あり"", ""value"": ""悪臭あり""}, {""label"": ""外耳炎疑い"", ""value"": ""外耳炎疑い""}]",t,3,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
