id,clinic_id,name,description,is_active,sort_order,created_at,updated_at,deleted_at
1,1,食欲不振,"",t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,嘔吐・下痢,"",t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,皮膚・被毛異常,"",t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,呼吸困難,"",t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,排尿・排泄異常,"",t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,外傷・骨折,"",t,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,食欲不振,"",t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,嘔吐・下痢,"",t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,2,皮膚・被毛異常,"",t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,2,排尿・排泄異常,"",t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,食欲不振,"",t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,3,嘔吐・下痢,"",t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,3,呼吸困難,"",t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,3,外傷・骨折,"",t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,2,外傷・骨折,"",t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,2,呼吸困難,"",t,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,3,皮膚・被毛異常,"",t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,3,排尿・排泄異常,"",t,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
