id,clinic_id,name,price,is_active,description,time_condition,duration,parent_id,tax_type,tax_rate,sort_order,created_at,updated_at,deleted_at
1,1,初診料,0,t,既存,"",,10012,excluded,0.10,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,再診料,0,t,既存,"",,10012,excluded,0.10,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,往診料,0,t,既存,"",,10012,excluded,0.10,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,時間外診療料,0,t,既存,"",,10012,excluded,0.10,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,入院料,0,t,既存,"",,10012,excluded,0.10,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,初診料,2200,t,初めての受診または6ヶ月以上受診がない場合,first_visit,30,,excluded,0.10,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,再診料,900,t,継続通院の診察料,revisit,15,,excluded,0.10,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,時間外診療料,3200,t,診療時間外・休日の緊急診察,after_hours,30,,excluded,0.10,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,3,初診料,1900,t,初めての受診または6ヶ月以上受診がない場合,first_visit,30,,excluded,0.10,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,3,再診料,800,t,継続通院の診察料,revisit,15,,excluded,0.10,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,往診料,5500,t,自宅への往診料（基本料金）,anytime,60,,excluded,0.10,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,2,往診料,5200,t,自宅への往診料（基本料金）,anytime,60,,excluded,0.10,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,2,電話相談料,500,t,電話による診察相談,anytime,15,,excluded,0.10,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,3,時間外診療料,3100,t,診療時間外・休日の緊急診察,after_hours,30,,excluded,0.10,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,3,電話相談料,500,t,電話による診察相談,anytime,15,,excluded,0.10,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10001,1,健康診断料,0,f,既存 / 削除,"",,10012,excluded,0.10,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10002,1,その他診察料,0,t,既存,"",,10012,excluded,0.10,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10003,1,ICU,0,f,既存 / 削除,"",,10012,excluded,0.10,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10004,1,指名料,0,f,既存 / 削除,"",,10012,excluded,0.10,9,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10005,1,再診料（新しい病気）,0,f,既存 / 削除,"",,10012,excluded,0.10,10,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10006,1,特別入院料,0,t,既存,"",,10012,excluded,0.10,11,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10007,1,処方料,0,t,既存,"",,10012,excluded,0.10,12,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10008,1,健康診断料（春）,0,t,追加案 / 林先生のご要望：四季別の集計が可能になるよう細分化,"",,10012,excluded,0.10,13,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10009,1,健康診断料（夏）,0,t,追加案 / 林先生のご要望：四季別の集計が可能になるよう細分化,"",,10012,excluded,0.10,14,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10010,1,健康診断料（秋）,0,t,追加案 / 林先生のご要望：四季別の集計が可能になるよう細分化,"",,10012,excluded,0.10,15,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10011,1,健康診断料（冬）,0,t,追加案 / 林先生のご要望：四季別の集計が可能になるよう細分化,"",,10012,excluded,0.10,16,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10012,1,診察,0,t,診察カテゴリ,"",,,excluded,0.10,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
