id,clinic_id,name,is_active,description,diagnosis_type_id,sort_order,created_at,updated_at,deleted_at
1,1,胃腸炎,t,胃・腸の炎症（嘔吐・下痢）,1,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,膵炎,t,膵臓の炎症,1,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,肝疾患,t,肝炎・肝不全・脂肪肝など,1,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,気管支炎,t,気管支の炎症,2,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,肺炎,t,肺の感染性・非感染性炎症,2,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,アトピー性皮膚炎,t,アレルゲンによるアレルギー性皮膚炎,3,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,膿皮症,t,細菌性の皮膚感染症,3,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,真菌症,t,皮膚糸状菌による感染症,3,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,膀胱炎,t,細菌性・特発性膀胱炎,4,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,腎不全,t,急性・慢性腎不全,4,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,1,尿路結石,t,腎結石・膀胱結石・尿道結石,4,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,1,てんかん,t,反復性の痙攣発作,5,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,1,椎間板ヘルニア,t,頸椎・腰椎の椎間板突出,5,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,1,パルボウイルス感染症,t,犬パルボウイルスによる感染症,6,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,1,フィラリア症,t,犬糸状虫による心肺疾患,6,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,1,猫風邪（FVR）,t,猫ウイルス性鼻気管炎,6,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,1,肥満細胞腫,t,皮膚または内臓の肥満細胞腫瘍,7,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,1,リンパ腫,t,悪性リンパ腫,7,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,1,骨折,t,各部位の骨折,8,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,1,咬傷,t,他動物による咬傷・咬傷感染,8,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,2,胃腸炎,t,胃・腸の炎症（嘔吐・下痢）,9,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,2,膵炎,t,膵臓の炎症,9,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,2,気管支炎,t,気管支の炎症,10,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
