id,clinic_id,name,is_active,description,sort_order,created_at,updated_at,deleted_at
1,1,消化器系,t,胃腸・肝臓・膵臓などの消化器系疾患,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,呼吸器系,t,肺・気管・鼻腔などの呼吸器系疾患,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,皮膚・被毛,t,アレルギー・感染症などの皮膚疾患,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,泌尿器系,t,腎臓・膀胱・尿道などの泌尿器系疾患,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,神経系,t,脳・脊髄・末梢神経などの神経系疾患,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,感染症・寄生虫,t,細菌・ウイルス・寄生虫感染症,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,腫瘍,t,良性・悪性腫瘍（がん）,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,外傷・骨格,t,骨折・咬傷・関節疾患など,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,2,消化器系,t,胃腸・肝臓・膵臓などの消化器系疾患,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,2,呼吸器系,t,肺・気管・鼻腔などの呼吸器系疾患,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,2,皮膚・被毛,t,アレルギー・感染症などの皮膚疾患,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,2,泌尿器系,t,腎臓・膀胱・尿道などの泌尿器系疾患,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,2,感染症,t,細菌・ウイルス感染症,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,3,消化器系,t,胃腸・肝臓・膵臓などの消化器系疾患,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,3,皮膚・被毛,t,アレルギー・感染症などの皮膚疾患,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,3,泌尿器系,t,腎臓・膀胱・尿道などの泌尿器系疾患,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,3,腫瘍,t,良性・悪性腫瘍（がん）,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,3,外傷・骨格,t,骨折・咬傷・関節疾患など,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,2,腫瘍,t,良性・悪性腫瘍（がん）,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,2,外傷・骨格,t,骨折・咬傷・関節疾患など,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,2,神経系,t,脳・脊髄・末梢神経などの神経系疾患,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,3,呼吸器系,t,肺・気管・鼻腔などの呼吸器系疾患,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,3,神経系,t,脳・脊髄・末梢神経などの神経系疾患,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,3,感染症・寄生虫,t,細菌・ウイルス・寄生虫感染症,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
