id,exam_id,exam_type_field_id,name,inspection_value,normal_value,result,unit,reference_value,ref_min,ref_max,is_abnormal,status,sort_order,created_at,updated_at
34,1,1,"",9.8,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
35,1,2,"",7.2,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
36,1,3,"",45,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
37,1,4,"",320,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
38,2,5,"",145,"","","","",,,f,high,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
39,2,6,"",18,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
40,2,7,"",1.2,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
41,2,8,"",98,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
42,3,1,"",19.2,"","","","",,,f,high,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
43,3,2,"",8.1,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
44,3,3,"",52,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
45,3,4,"",280,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
46,4,18,"",8.5,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
47,4,19,"",6.8,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
48,4,20,"",46,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
49,5,24,"",腸管ガス像あり,"","","","",,,f,high,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
50,5,25,"",異常なし,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
51,6,26,"",9.2,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
52,6,27,"",7.0,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
53,6,28,"",320,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
54,7,29,"",1.010,"","","","",,,f,low,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
55,7,30,"",6.5,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
56,7,31,"",陰性,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
57,8,32,"",異常なし,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
58,8,33,"",異常なし,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
100,10,1,"",12.5,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
101,10,2,"",7.5,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
102,10,3,"",42,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
103,10,4,"",350,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
104,11,5,"",65,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
105,11,6,"",32,"","","","",,,f,high,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
106,11,7,"",2.1,"","","","",,,f,high,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
107,11,8,"",110,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
108,12,5,"",45,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
109,12,6,"",22,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
110,12,7,"",1.1,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
111,12,8,"",95,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
112,13,1,"",10.2,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
113,13,2,"",7.8,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
114,13,3,"",40,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
115,13,4,"",410,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
116,14,5,"",55,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
117,14,6,"",18,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
118,14,7,"",0.9,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
119,14,8,"",105,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
120,15,1,"",8.5,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
121,15,2,"",6.5,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
122,15,3,"",38,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
123,15,4,"",300,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
124,16,1,"",11.0,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
125,16,2,"",7.2,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
126,16,3,"",44,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
127,16,4,"",330,"","","","",,,f,normal,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
