id,exam_type_id,name,inspection_value,normal_value,unit,sort_order,created_at,updated_at,clinic_id
1,3,WBC（白血球数）,"",6.0-17.0 x10^3/uL,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
2,3,RBC（赤血球数）,"",5.5-8.5 x10^6/uL,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
3,3,HCT（ヘマトクリット）,"",37-55%,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
4,3,PLT（血小板数）,"",175-500 x10^3/uL,"",4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
5,3,ALT（GPT）,"",10-125 U/L,"",5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
6,3,BUN（尿素窒素）,"",7-27 mg/dL,"",6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
7,3,CRE（クレアチニン）,"",0.5-1.8 mg/dL,"",7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
8,3,GLU（血糖値）,"",74-143 mg/dL,"",8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
9,1,尿比重,"",1.015-1.045,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
10,1,尿pH,"",5.5-7.5,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
11,1,尿タンパク,"",陰性,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
12,1,尿潜血,"",陰性,"",4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
13,11001,胸部正面,"",異常なし,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
14,11001,腹部正面,"",異常なし,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
15,11001,四肢,"",異常なし,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
16,11005,腹部エコー,"",異常なし,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
17,11005,心臓エコー,"",異常なし,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,1
18,6,WBC（白血球数）,"",6.0-17.0 x10^3/uL,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
19,6,RBC（赤血球数）,"",5.5-8.5 x10^6/uL,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
20,6,HCT（ヘマトクリット）,"",37-55%,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
21,7,ALT（GPT）,"",10-125 U/L,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
22,7,BUN（尿素窒素）,"",7-27 mg/dL,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
23,7,CRE（クレアチニン）,"",0.5-1.8 mg/dL,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
24,8,胸部正面,"",異常なし,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
25,8,腹部正面,"",異常なし,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
26,9,WBC（白血球数）,"",6.0-17.0 x10^3/uL,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
27,9,RBC（赤血球数）,"",5.5-8.5 x10^6/uL,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
28,9,PLT（血小板数）,"",175-500 x10^3/uL,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
29,10,尿比重,"",1.015-1.045,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
30,10,尿pH,"",5.5-7.5,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
31,10,尿タンパク,"",陰性,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
32,11,腹部エコー,"",異常なし,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
33,11,心臓エコー,"",異常なし,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
34,12,腹部エコー,"",異常なし,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
35,12,心臓エコー,"",異常なし,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
36,13,尿比重,"",1.015-1.045,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
37,13,尿pH,"",5.5-7.5,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
38,13,尿タンパク,"",陰性,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,2
39,14,ALT（GPT）,"",10-125 U/L,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
40,14,BUN（尿素窒素）,"",7-27 mg/dL,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
41,14,CRE（クレアチニン）,"",0.5-1.8 mg/dL,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
42,14,GLU（血糖値）,"",74-143 mg/dL,"",4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
43,15,胸部正面,"",異常なし,"",1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
44,15,腹部正面,"",異常なし,"",2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,3
