id,clinic_id,name,price,is_active,description,parent_id,sort_order,is_non_insurance,created_at,updated_at,deleted_at
1,1,尿検査,0,t,既存,11008,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,便検査,0,t,既存,11008,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,血液検査（院内）,0,t,既存,11008,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,眼科検査,0,t,既存,11008,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,皮膚検査,0,t,既存,11008,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,血液検査（CBC）,3000,t,全血球計算（Complete Blood Count）,,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,血液化学検査,5000,t,肝機能・腎機能・血糖値など生化学的検査,,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,レントゲン検査,3200,t,X線撮影（胸部・腹部・四肢）,,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,3,血液検査（CBC）,2800,t,全血球計算（Complete Blood Count）,,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,3,尿検査,1600,t,尿試験紙・尿沈渣検査,,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,超音波検査（エコー）,5200,t,腹部エコー・心臓エコー,,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,2,超音波検査（エコー）,5200,t,腹部エコー・心臓エコー,,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,2,尿検査,1600,t,尿試験紙・尿沈渣検査,,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,3,血液化学検査,5000,t,肝機能・腎機能・血糖値など生化学的検査,,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,3,レントゲン検査,3200,t,X線撮影（胸部・腹部・四肢）,,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11001,1,画像検査（Xray）,0,t,既存,11008,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11002,1,病理検査,0,t,既存,11008,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11003,1,特殊検査,0,f,既存 / 削除,11008,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11004,1,その他検査,0,t,既存,11008,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11005,1,画像検査（Echo）,0,t,既存,11008,10,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11006,1,血液検査（外注）,0,t,既存,11008,11,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11007,1,画像検査（CT）,0,t,新規 / 追加,11008,12,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11008,1,検査,0,t,検査カテゴリ,,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
