id,medical_record_id,clinic_id,pet_id,date,exam_type_id,doctor_id,status,result_summary,machine,created_at,updated_at,deleted_at,job_id
1,2,1,,2026-02-24,1,1,completed,CBC全項目正常範囲内。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
2,14,1,,2025-08-25,2,2,completed,ALT軽度上昇（145 U/L）。他正常。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
3,13,1,,2026-04-22,1,1,result_entered,WBC上昇（19.2）。脱水を反映。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
4,23,2,,2026-02-24,6,16,completed,CBC全項目正常範囲内。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
5,25,2,,2026-02-10,8,16,completed,腹部正面：腸管ガス像あり。他異常なし。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
6,31,3,,2026-03-20,9,26,completed,CBC全項目正常範囲内。加齢による軽度変化のみ。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
7,32,3,,2026-04-27,10,27,completed,尿比重低下（1.010）。腎機能低下疑い。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
8,33,3,,2025-11-30,11,26,completed,腹部エコー：異常なし。皮膚問題は別要因。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
10,63,1,,2026-05-22,1,1,completed,WBC正常。炎症所見なし。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
11,63,1,,2026-05-22,2,1,completed,肝数値安定。腎数値にやや上昇あり。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
12,69,1,,2026-05-22,2,1,completed,スクリーニング検査。全項目正常。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
13,64,1,,2026-05-22,1,2,completed,術前検査。異常なし。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
14,71,1,,2026-05-22,2,1,completed,スケーリング前検査。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
15,1,1,,2025-10-10,1,1,completed,過去データ1。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
16,1,1,,2025-12-20,1,1,completed,過去データ2。,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,
17,,2,82,2026-06-10,12,34,pending,"","",2026-06-10 16:37:44.558404+09,2026-06-10 16:37:44.558404+09,,
18,,2,82,2026-06-15,12,34,completed,異物所見あり,"",2026-06-15 11:28:18.276297+09,2026-06-15 13:26:33.227194+09,,
19,,2,82,2026-06-15,6,34,pending,"","",2026-06-15 11:35:45.673242+09,2026-06-15 12:26:12.488+09,,
20,,2,82,2026-06-15,7,34,pending,"","",2026-06-15 11:37:49.561853+09,2026-06-15 11:37:49.561853+09,,
