id,clinic_id,name,price,is_active,description,body_size,billing_unit,tax_type,tax_rate,sort_order,created_at,updated_at,deleted_at
1,1,一般入院（小型）,3000,t,体重10kg以下の入院管理料（1日）,small,per_day,excluded,0.10,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,一般入院（中型）,3500,t,体重10-25kgの入院管理料（1日）,medium,per_day,excluded,0.10,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,一般入院（大型）,4500,t,体重25kg以上の入院管理料（1日）,large,per_day,excluded,0.10,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,ICU入院,8000,t,集中治療室管理料（1日）,small,per_day,excluded,0.10,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,ホテル（小型）,2500,t,体重10kg以下のペットホテル（1泊）,small,per_night,excluded,0.10,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,一般入院（小型）,3200,t,体重10kg以下の入院管理料（1日）,small,per_day,excluded,0.10,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,一般入院（中型）,3700,t,体重10-25kgの入院管理料（1日）,medium,per_day,excluded,0.10,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,ICU入院,8500,t,集中治療室管理料（1日）,small,per_day,excluded,0.10,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,3,一般入院（小型）,3100,t,体重10kg以下の入院管理料（1日）,small,per_day,excluded,0.10,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,3,一般入院（大型）,4800,t,体重25kg以上の入院管理料（1日）,large,per_day,excluded,0.10,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,ホテル（小型）,2600,t,体重10kg以下のペットホテル（1泊）,small,per_night,excluded,0.10,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,2,ICU入院（ハイケア）,8800,t,集中治療室・ハイケア管理料（1日）,small,per_day,excluded,0.10,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,2,ホテル（小型）,2700,t,体重10kg以下のペットホテル（1泊）,small,per_night,excluded,0.10,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,3,一般入院（中型）,3900,t,体重10-25kgの入院管理料（1日）,medium,per_day,excluded,0.10,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,3,ICU入院,8500,t,集中治療室管理料（1日）,small,per_day,excluded,0.10,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
