id,medical_record_id,chief_complaint_type_id,chief_complaint,history,current_medications,allergy_info,last_meal,last_defecation,last_urination,appetite,water_intake,owner_observations,notes,staff_id,created_at,updated_at
1,1,,狂犬病ワクチン接種,"","","","","","",,,"",体調良好。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
2,2,,定期健診,"","","","","","",,,"",特に異常なし。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
3,4,6,右足の跛行,"","","","","","",,,"",膝蓋骨脱臼を確認。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
4,5,,フィラリア予防,"","","","","","",,,"",予防薬処方。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
5,3,,5種混合ワクチン接種,"","","","","","",,,"",体調良好。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
6,6,,5種混合ワクチン接種,"","","","","","",,,"",体調良好。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
7,7,,ノミダニ予防薬,"","","","","","",,,"",予防薬処方。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
8,8,3,皮膚の痒み,"","","","","","",,,"",アトピー性皮膚炎疑い。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
9,9,3,トリミング後の皮膚チェック,"","","","","","",,,"",軽度の赤みあり。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
10,10,1,食欲不振,"","","","","","",,,"",2日前から食欲減退。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
11,11,,耳を痒がる,"","","","","","",,,"",外耳炎疑い。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
12,12,,定期健診・予防接種,"","","","","","",,,"",年次健診。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
13,13,2,嘔吐・下痢,"","","","","","",,,"",昨日から嘔吐3回。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
14,14,,生化学検査,"","","","","","",,,"",シニア健診。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
15,15,,3種混合ワクチン接種（猫）,"","","","","","",,,"",初回ワクチン。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
16,16,,血液検査,"","","","","","",,,"",異常なし。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
17,17,,歯石除去,"","","","","","",,,"",重度の歯石付着。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
18,18,,定期検診,"","","","","","",,,"",体重管理継続。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
19,19,6,再診（右足跛行）,"","","","","","",,,"",改善傾向。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
20,20,,5種混合ワクチン接種,"","","","","","",,,"",体調良好。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
25,21,,定期健診・フィラリア検査,"","","","","","",,,"",体調良好。フィラリア陰性。,16,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
26,22,,3種混合ワクチン接種,"","","","","","",,,"",ワクチン接種。体調問題なし。,17,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
27,23,,血液検査・一般健診,"","","","","","",,,"",年次健診。,16,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
