id,clinic_id,category,title,content,is_active,sort_order,created_at,updated_at,deleted_at
1,1,chief_complaint,食欲不振（急性）,いつ頃から食欲が落ちましたか？完全に食べないのか、減っているだけか確認してください。,t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,chief_complaint,嘔吐（回数・内容物）,嘔吐の回数、内容物（食物・胆汁・血液など）、嘔吐のタイミング（食後すぐ・空腹時）を確認してください。,t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,chief_complaint,下痢（性状・頻度）,便の性状（軟便・水様便・血便・粘液便）、排便頻度、いつから続いているか確認してください。,t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,chief_complaint,皮膚の痒み・発赤,痒がる部位、発症時期、季節性の有無、ノミ・ダニ予防の状況を確認してください。,t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,chief_complaint,排尿異常,排尿回数の変化、尿の色・量、排尿時の痛みの有無、血尿の有無を確認してください。,t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,history,既往歴確認（手術歴）,過去の手術歴（去勢・避妊含む）、入院歴、重大な疾患の既往を確認してください。,t,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,history,予防接種歴確認,最終ワクチン接種日、狂犬病予防接種の有無、フィラリア予防の状況を確認してください。,t,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,current_medications,現在の投薬状況,現在服用中の薬剤名、用量、投与期間、処方元の病院を確認してください。,t,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,current_medications,サプリメント・フード,現在与えているサプリメント、療法食、おやつの種類を確認してください。,t,9,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,notes,生活環境確認,室内飼い/外飼い、同居動物の有無、散歩の頻度・時間を確認してください。,t,10,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,2,chief_complaint,食欲不振,いつ頃から食欲が低下しましたか？完全絶食か減少かを確認してください。,t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,2,chief_complaint,嘔吐,嘔吐の回数・内容物・タイミングを確認してください。,t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,2,chief_complaint,下痢,便の性状・排便頻度・持続期間を確認してください。,t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,2,history,既往歴・手術歴,過去の手術歴・入院歴・重大な疾患の既往を確認してください。,t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,2,history,予防接種歴,最終ワクチン接種日・狂犬病予防・フィラリア予防の状況を確認してください。,t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,2,current_medications,投薬状況,現在服用中の薬剤名・用量・処方元を確認してください。,t,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,2,notes,生活環境,室内飼い/外飼い・同居動物・散歩頻度を確認してください。,t,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,3,chief_complaint,食欲低下,いつから食べなくなったか、食事内容の変化はあるか確認してください。,t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,3,chief_complaint,嘔吐・吐出,嘔吐の頻度・内容物・食事との関連を確認してください。,t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,3,chief_complaint,消化器症状（下痢）,便の状態・頻度・血便の有無を確認してください。,t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,3,history,既往歴確認,手術歴・入院歴・アレルギー歴を確認してください。,t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,3,history,ワクチン・予防歴,ワクチン接種歴・フィラリア予防の有無を確認してください。,t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,3,current_medications,現在の治療状況,他院での治療中の薬・サプリメントを確認してください。,t,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,3,notes,飼育環境,飼育場所・同居動物・食事内容を確認してください。,t,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,1,general,猫の食欲不振,【食欲】いつから？（ ） どれくらい食べてる？（ ）\n【嘔吐】回数（ ） 内容物（ ）\n【排便】状態（ ） 回数（ ）,t,10,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,1,general,皮膚の痒み,【部位】どこを痒がる？（ ）\n【時期】いつから？（ ）\n【同居動物】痒がっている子は いる？（ ）,t,11,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,1,specialty,循環器・心機能チェック,【咳】いつ出るか（ ） 頻度（ ）\n【運動】散歩の距離（ ） 息切れ（ ）\n【失神】過去に倒れたことは？（ ）,t,20,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,1,specialty,去勢・避妊相談,【発情】最後はいつ？（ ）\n【術前検査】希望する？（ ）\n【性格】非常に怖がるなど（ ）,t,21,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
