id,clinic_id,name,is_active,description,coverage_rate,contact_phone,sort_order,created_at,updated_at,deleted_at
1,1,アニコム損保,t,ペット保険大手・どうぶつ健保シリーズ,70,0120-025-034,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,アイペット損保,t,うちの子シリーズ,70,0120-956-099,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,ペット&ファミリー,t,げんきナンバーワンシリーズ,80,0120-81-8505,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,楽天ペット保険,t,楽天が提供するペット保険,70,0120-600-810,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,その他（自費）,t,保険未加入・全額自費,100,"",5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,アニコム損保,t,ペット保険大手・どうぶつ健保シリーズ,70,0120-025-034,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,アイペット損保,t,うちの子シリーズ,70,0120-956-099,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,その他（自費）,t,保険未加入・全額自費,100,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,3,アニコム損保,t,ペット保険大手・どうぶつ健保シリーズ,70,0120-025-034,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,3,ペット&ファミリー,t,げんきナンバーワンシリーズ,80,0120-81-8505,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,その他（自費）,t,保険未加入・全額自費,100,"",3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
