id,clinic_id,name,category,quantity,unit,min_stock_level,location,expiry_date,supplier,last_restocked,status,created_at,updated_at,deleted_at
1,1,フロントライン プラス（犬用）,medicine,50,本,10,薬品棚A,,メリアルジャパン,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,ネクスガード チュアブル,medicine,30,錠,10,薬品棚A,,ベーリンガーインゲルハイム,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,ヒルズ i/d（犬用・消化器ケア）,food,20,袋,5,食品棚B,,ヒルズ・コルゲート,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,ロイヤルカナン 消化器サポート,food,15,袋,5,食品棚B,,ロイヤルカナン,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,包帯・ガーゼセット,consumable,100,セット,20,消耗品棚C,,白十字,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,5種混合ワクチン,medicine,25,バイアル,15,冷蔵庫 1,,共立製薬,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,留置針 22G,consumable,0,本,50,処置室 棚D,,テルモ,,out_of_stock,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,シリンジ 5mL,consumable,300,本,100,処置室 棚D,,テルモ,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,メトクロプラミド注 10mg,medicine,8,アンプル,10,薬品棚 A-3,,日本全薬工業,,low,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,療法食 消化器サポート（猫用）,food,10,袋,5,フード棚 C-1,,ヒルズ,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,1,エリザベスカラー（S）,other,15,個,5,倉庫 A,,ペットメディカルサプライ,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,1,ガーゼ 滅菌 7.5cm,consumable,45,枚,50,処置室 棚E,,白十字,,low,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,1,フィラリア予防薬（S）,medicine,60,錠,30,薬品棚 B-1,,メリアル・ジャパン,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,1,ノミダニ駆除薬 スポット,medicine,40,ピペット,20,薬品棚 B-2,,エランコジャパン,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,2,5種混合ワクチン,medicine,20,バイアル,10,冷蔵庫,,共立製薬,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,2,アモキシシリン 50mg,medicine,100,錠,30,薬品棚A,,日本全薬工業,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,2,ロイヤルカナン 消化器サポート,food,12,袋,5,フード棚,,ロイヤルカナン,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,2,包帯・ガーゼセット,consumable,40,セット,20,処置室,,白十字,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,2,ノミダニ駆除薬 スポット（犬用）,medicine,25,ピペット,10,薬品棚B,,エランコジャパン,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,1,吸収性縫合糸 3-0,consumable,10,パック,20,手術室,,ジョンソン・エンド・ジョンソン,,low,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,1,乳酸リンゲル液 500mL,medicine,48,袋,24,処置室,,大塚製薬,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,1,処方食 a/d 缶,food,5,缶,12,入院室,,ヒルズ,,low,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,1,マイクロチップ,other,30,本,10,受付奥,,データマーズ,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,1,カテーテル 3.5Fr,consumable,0,本,5,処置室,,ニプロ,,out_of_stock,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,1,消毒用アルコール 5L,consumable,2,本,1,倉庫 B,,兼一薬品,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
101,2,留置針 24G,consumable,100,本,20,処置室,,テルモ,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
102,2,乳酸リンゲル 250mL,medicine,12,袋,24,薬品棚,,大塚製薬,,low,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
103,2,消毒用綿棒,consumable,500,本,100,処置室,,白十字,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
201,3,シリンジ 1mL,consumable,50,本,100,薬品棚,,テルモ,,low,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
202,3,アモキシシリン 100mg,medicine,200,錠,50,薬品棚,,日本全薬工業,,sufficient,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
