id,clinic_id,record_no,date,owner_id,pet_id,doctor_id,appointment_id,status,version,entered_by,next_visit_recommended_date,recommendation_reason,visit_type,created_at,updated_at,deleted_at
1,1,R-2025-001,2025-12-20,1,1,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,R-2025-002,2026-02-24,1,1,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,R-2026-001,2026-04-01,1,1,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,R-2025-003,2026-01-15,1,2,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,R-2025-004,2025-11-25,2,3,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,R-2026-002,2026-03-18,2,3,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,R-2025-005,2025-11-01,3,4,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,R-2025-006,2025-12-28,4,6,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,R-2025-007,2025-10-09,5,7,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,R-2026-003,2026-03-27,6,8,1,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,1,R-2025-008,2026-02-10,7,9,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,1,R-2025-009,2026-01-30,8,10,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,1,R-2026-004,2026-04-22,9,11,2,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,1,R-2025-010,2025-08-25,10,12,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,1,R-2026-005,2026-03-18,11,13,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,1,R-2025-011,2025-11-18,12,14,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,1,R-2026-006,2026-05-10,13,15,2,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,1,R-2025-012,2025-10-30,14,16,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,1,R-2026-007,2026-03-15,15,17,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,1,R-2026-008,2026-03-18,16,18,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,2,C-2025-001,2026-01-20,23,29,16,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,2,C-2025-002,2025-12-30,24,31,17,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,2,C-2025-003,2026-02-24,25,32,16,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
