id,clinic_id,name,price,is_active,description,parent_id,dosage_form,medicine_unit,inventory_id,default_quantity,tax_type,tax_rate,sort_order,is_non_insurance,created_at,updated_at,deleted_at,calculation_type,strength,frequency_per_day,default_duration_days
1,1,抗生物質・抗菌剤（ペニシリン系）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
2,1,駆虫剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
3,1,鎮痛剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
4,1,循環器系薬剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
5,1,免疫抑制剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
6,1,鎮咳剤・去痰剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
7,1,呼吸促進剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
8,1,抗ヒスタミン剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
9,1,抗アレルギー剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
10,1,消化器系薬剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,10,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
11,1,肝胆膵疾患用薬剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,11,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
12,1,抗腫瘍剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,12,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
13,1,血液作用剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,13,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14,1,代謝系薬剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,14,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
15,1,内分泌系薬剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,15,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
101,2,アモキシシリン 50mg,520,t,広域スペクトラム抗生物質,2001,tablet,per_tablet,,1.00,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
102,2,セファレキシン 250mg,470,t,第1世代セフェム系抗生物質,2001,tablet,per_tablet,,1.00,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
103,2,メトロニダゾール 250mg,620,t,嫌気性菌・原虫感染症治療薬,2001,tablet,per_tablet,,1.00,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
104,2,プレドニゾロン 5mg,420,t,ステロイド系抗炎症・免疫抑制剤,2002,tablet,per_tablet,,1.00,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
105,2,デキサメタゾン注射液,720,t,強力ステロイド・アレルギー緊急治療,2002,injection,per_ml,,1.00,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
106,2,メロキシカム経口液,730,t,NSAIDs・痛み・炎症の緩和,2003,liquid,per_ml,,1.00,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
107,2,カルプロフェン 25mg,680,t,NSAIDs・術後疼痛管理,2003,tablet,per_tablet,,1.00,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
108,2,ノミ・ダニ駆除薬（犬用）,2600,t,外部寄生虫予防・駆除（スポットオン）,2004,topical,per_dose,,1.00,excluded,0.10,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
109,2,ノミ・ダニ駆除薬（猫用）,2600,t,外部寄生虫予防・駆除（スポットオン）,2004,topical,per_dose,,1.00,excluded,0.10,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
110,2,生理食塩水 500ml,420,t,点滴・洗浄用生理食塩水,2005,liquid,per_ml,,500.00,excluded,0.10,10,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
111,2,マロピタント 16mg,820,t,制吐剤（乗り物酔い・嘔吐治療）,2006,tablet,per_tablet,,1.00,excluded,0.10,11,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
112,2,オメプラゾール 10mg,360,t,プロトンポンプ阻害薬（胃酸抑制）,2007,tablet,per_tablet,,1.00,excluded,0.10,12,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
113,2,ラクツロース液,510,t,便秘・肝性脳症の治療,2007,liquid,per_ml,,5.00,excluded,0.10,13,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
114,2,ガバペンチン 100mg,560,t,神経因性疼痛・てんかん補助療法,2008,tablet,per_tablet,,1.00,excluded,0.10,14,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
115,2,乳酸リンゲル液 500ml,450,t,補液・電解質補正,2009,liquid,per_ml,,500.00,excluded,0.10,15,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
201,3,アモキシシリン 50mg,510,t,広域スペクトラム抗生物質,3001,tablet,per_tablet,,1.00,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
202,3,エンロフロキサシン 15mg,580,t,フルオロキノロン系抗生物質,3001,tablet,per_tablet,,1.00,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
203,3,メトロニダゾール 250mg,610,t,嫌気性菌・原虫感染症治療薬,3001,tablet,per_tablet,,1.00,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
204,3,プレドニゾロン 5mg,410,t,ステロイド系抗炎症・免疫抑制剤,3002,tablet,per_tablet,,1.00,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
205,3,デキサメタゾン注射液,710,t,強力ステロイド・アレルギー緊急治療,3002,injection,per_ml,,1.00,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
206,3,マロピタント 16mg,820,t,制吐剤（乗り物酔い・嘔吐治療）,3003,tablet,per_tablet,,1.00,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
207,3,メトクロプラミド注,480,t,制吐・消化管運動促進,3003,injection,per_ml,,1.00,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
208,3,ラクツロース液,510,t,便秘・肝性脳症の治療,3004,liquid,per_ml,,5.00,excluded,0.10,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
209,3,オメプラゾール 10mg,360,t,プロトンポンプ阻害薬（胃酸抑制）,3004,tablet,per_tablet,,1.00,excluded,0.10,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
210,3,生理食塩水 500ml,410,t,点滴・洗浄用生理食塩水,,liquid,per_ml,,500.00,excluded,0.10,10,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
211,3,メロキシカム経口液,710,t,NSAIDs・痛み・炎症の緩和,3005,liquid,per_ml,,1.00,excluded,0.10,11,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
212,3,カルプロフェン 25mg,670,t,NSAIDs・術後疼痛管理,3005,tablet,per_tablet,,1.00,excluded,0.10,12,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
213,3,フロセミド注射液,820,t,利尿剤（心臓・腎臓病の浮腫治療）,3006,injection,per_ml,,2.00,excluded,0.10,13,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
214,3,ガバペンチン 100mg,560,t,神経因性疼痛・てんかん補助療法,3007,tablet,per_tablet,,1.00,excluded,0.10,14,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
215,3,ノミ・ダニ駆除薬（犬用）,2550,t,外部寄生虫予防・駆除（スポットオン）,3008,topical,per_dose,,1.00,excluded,0.10,15,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
2001,2,抗生剤,,t,抗生物質カテゴリ,,,,,1.00,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
2002,2,ステロイド,,t,ステロイド剤カテゴリ,,,,,1.00,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
2003,2,消炎剤,,t,消炎鎮痛剤カテゴリ,,,,,1.00,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
2004,2,駆虫剤,,t,駆虫剤カテゴリ,,,,,1.00,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
2005,2,輸液,,t,輸液カテゴリ,,,,,1.00,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
2006,2,制吐剤,,t,制吐剤カテゴリ,,,,,1.00,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
2007,2,消化器用薬,,t,消化器用薬カテゴリ,,,,,1.00,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
