id,clinic_id,name,description,sort_order,is_active,created_at,updated_at,deleted_at
1,1,獣医師,"",1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,看護師,"",2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,トリマー,"",3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,受付,"",4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,2,獣医師,"",1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,看護師,"",2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,トリマー,"",3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,受付,"",4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,3,獣医師,"",1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,3,看護師,"",2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,トリマー,"",3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,3,受付,"",4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
