id,billing_id,subtotal,tax_total,total_amount,insurance_name,insurance_ratio,insurance_amount,discount_amount,billing_amount,received_amount,change_amount,method,payment_method_id,paid_by,created_at,updated_at,deleted_at
1,1,4300,430,4730,アニコム損保,0.70,3311,0,1419,1500,81,cash,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,2,6100,554,6654,アニコム損保,0.70,2541,0,4113,4200,87,credit_card,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,4,4500,450,4950,"",0.00,0,0,4950,5000,50,cash,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,5,3500,350,3850,"",0.00,0,0,3850,3850,0,credit_card,2,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,6,6200,596,6796,"",0.00,0,0,6796,7000,204,cash,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,7,6800,680,7480,アニコム損保,0.70,5236,0,2244,2244,0,credit_card,2,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,8,25000,2500,27500,アニコム損保,0.70,19250,0,8250,8250,0,cash,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,9,5000,500,5500,"",0.00,0,0,5500,5500,0,electronic_money,3,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,10,1400,140,1540,"",0.00,0,0,1540,2000,460,cash,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,11,2500,250,2750,"",0.00,0,0,2750,3000,250,cash,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,12,1200,120,1320,"",0.00,0,0,1320,1320,0,credit_card,2,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,13,3000,240,3240,"",0.00,0,0,3240,3240,0,electronic_money,3,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,14,5000,500,5500,アイペット,0.50,2750,0,2750,3000,250,cash,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,15,8500,850,9350,"",0.00,0,0,9350,9350,0,credit_card,2,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,16,4200,420,4620,"",0.00,0,0,4620,5000,380,cash,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,17,15000,1500,16500,"",0.00,0,0,16500,16500,0,credit_card,2,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,18,2800,280,3080,"",0.00,0,0,3080,3080,0,electronic_money,3,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,19,6000,600,6600,アニコム損保,0.70,4620,0,1980,2000,20,cash,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,301,800,80,880,"",0.00,0,0,880,1000,120,cash,,16,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,302,1900,190,2090,"",0.00,0,0,2090,2090,0,credit_card,,16,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,401,800,80,880,"",0.00,0,0,880,880,0,cash,,26,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,402,800,80,880,"",0.00,0,0,880,1000,120,cash,,26,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,1002,1000,100,1100,"",0.00,0,0,1100,2000,900,cash,1,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,1010,3000,300,3300,"",0.00,0,0,3300,4000,700,cash,1,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,1011,1000,100,1100,"",0.00,0,0,1100,1100,0,credit_card,2,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,1012,1000,100,1100,"",0.00,0,0,1100,2000,900,cash,1,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,1015,1000,100,1100,"",0.00,0,0,1100,1100,0,credit_card,2,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
