id,clinic_id,name,price,is_active,description,duration,anesthesia,parent_id,tax_type,tax_rate,sort_order,is_surgery,created_at,updated_at,deleted_at
1,1,抗生物質・抗菌薬（ペニシリン系）,0,t,既存,,none,13047,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,駆虫剤（注射）,0,t,既存,,none,13047,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,鎮痛剤（注射）,0,t,既存,,none,13047,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,循環器系薬剤（注射）,0,t,既存,,none,13047,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,免疫抑制剤（注射）,0,t,既存,,none,13047,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,鎮咳剤・去痰剤（注射）,0,t,既存,,none,13047,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,呼吸促進剤（注射）,0,t,既存,,none,13047,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,抗ヒスタミン剤（注射）,0,t,既存,,none,13047,excluded,0.10,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,抗アレルギー剤（注射）,0,t,既存,,none,13047,excluded,0.10,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,消化器系薬剤（注射）,0,t,既存,,none,13047,excluded,0.10,10,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,2,去勢手術（犬）,26000,t,雄犬の去勢手術,60,general,,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,2,避妊手術（猫）,26000,t,雌猫の避妊手術,90,general,,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
