id,clinic_id,name,color,sort_order,is_active,created_at,updated_at,deleted_at
1,1,診療系,#3B82F6,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,予防・ワクチン,#10B981,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,健康診断・検査,#8B5CF6,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,トリミング・美容,#F59E0B,4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,手術・処置,#EF4444,5,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,ホテル・入院,#06B6D4,6,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,管理・内部,#9CA3AF,7,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,診療系,#3B82F6,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,2,予防・ワクチン,#10B981,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,2,健康診断・検査,#8B5CF6,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,2,トリミング・美容,#F59E0B,4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,2,手術・処置,#EF4444,5,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,2,ホテル・入院,#06B6D4,6,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,2,管理・内部,#9CA3AF,7,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,3,診療系,#3B82F6,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,3,予防・ワクチン,#10B981,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,3,健康診断・検査,#8B5CF6,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,3,トリミング・美容,#F59E0B,4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,3,手術・処置,#EF4444,5,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,3,管理・内部,#9CA3AF,6,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
