id,clinic_id,name,shift_type,start_time,end_time,notes,sort_order,is_active,created_at,updated_at,deleted_at
1,1,通常勤務,full,09:00:00,18:00:00,"",1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,午前勤務,morning,09:00:00,13:00:00,"",2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,午後勤務,afternoon,13:00:00,18:00:00,"",3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,休日,off,,,"",4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,有給休暇,paid_leave,,,"",5,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,Regular,full,09:00:00,18:00:00,"",1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,午前勤務,morning,09:00:00,13:00:00,"",2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,午後勤務,afternoon,13:00:00,18:00:00,"",3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,2,休日,off,,,"",4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,2,有給休暇,paid_leave,,,"",5,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,通常勤務,full,09:00:00,18:00:00,"",1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,3,午前勤務,morning,09:00:00,13:00:00,"",2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,3,午後勤務,afternoon,13:00:00,18:00:00,"",3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,3,休日,off,,,"",4,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,3,有給休暇,paid_leave,,,"",5,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,1,通常日勤（18:30まで）,full,09:00:00,18:30:00,"",1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,1,早番（17:00まで）,full,08:30:00,17:00:00,"",2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,1,午前のみ,morning,09:00:00,13:00:00,"",3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
