id,staff_id,clinic_id,is_main,created_at,updated_at,deleted_at
1,1,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,2,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,3,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,4,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,5,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,6,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,7,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,8,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,9,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,10,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,11,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,12,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,13,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,14,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,15,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,4,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,4,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,16,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,17,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,18,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,19,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,20,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,21,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,22,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,23,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,24,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,25,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,26,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
29,27,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,28,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
31,29,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
32,30,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
33,31,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
34,32,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
35,33,1,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
36,34,2,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
37,35,3,t,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
38,36,1,t,2026-07-06 14:59:40.882499+09,2026-07-06 14:59:40.882499+09,2026-05-17 16:22:17.205168+09
39,36,2,t,2026-07-06 14:59:40.882499+09,2026-07-06 14:59:40.882499+09,
40,36,4,f,2026-07-06 14:59:40.882499+09,2026-07-06 14:59:40.882499+09,
