id,clinic_id,staff_id,reservation_type_id,created_at
1,1,1,1,2026-07-06 14:59:40.511971+09
2,1,1,2,2026-07-06 14:59:40.511971+09
3,1,1,3,2026-07-06 14:59:40.511971+09
4,1,1,4,2026-07-06 14:59:40.511971+09
5,1,1,5,2026-07-06 14:59:40.511971+09
6,1,1,6,2026-07-06 14:59:40.511971+09
7,1,1,7,2026-07-06 14:59:40.511971+09
8,1,1,8,2026-07-06 14:59:40.511971+09
9,1,1,9,2026-07-06 14:59:40.511971+09
10,1,1,10,2026-07-06 14:59:40.511971+09
11,1,1,11,2026-07-06 14:59:40.511971+09
12,1,1,12,2026-07-06 14:59:40.511971+09
13,1,1,13,2026-07-06 14:59:40.511971+09
14,1,1,14,2026-07-06 14:59:40.511971+09
15,1,1,15,2026-07-06 14:59:40.511971+09
16,1,1,16,2026-07-06 14:59:40.511971+09
17,1,1,17,2026-07-06 14:59:40.511971+09
18,1,1,18,2026-07-06 14:59:40.511971+09
19,1,1,19,2026-07-06 14:59:40.511971+09
20,1,1,20,2026-07-06 14:59:40.511971+09
21,1,1,21,2026-07-06 14:59:40.511971+09
22,1,1,22,2026-07-06 14:59:40.511971+09
23,1,1,23,2026-07-06 14:59:40.511971+09
24,1,1,24,2026-07-06 14:59:40.511971+09
25,1,1,25,2026-07-06 14:59:40.511971+09
26,1,2,1,2026-07-06 14:59:40.511971+09
27,1,2,2,2026-07-06 14:59:40.511971+09
28,1,2,3,2026-07-06 14:59:40.511971+09
29,1,2,4,2026-07-06 14:59:40.511971+09
30,1,2,5,2026-07-06 14:59:40.511971+09
31,1,2,6,2026-07-06 14:59:40.511971+09
32,1,2,7,2026-07-06 14:59:40.511971+09
33,1,2,8,2026-07-06 14:59:40.511971+09
34,1,2,9,2026-07-06 14:59:40.511971+09
35,1,2,10,2026-07-06 14:59:40.511971+09
36,1,2,11,2026-07-06 14:59:40.511971+09
37,1,2,12,2026-07-06 14:59:40.511971+09
38,1,2,13,2026-07-06 14:59:40.511971+09
39,1,2,14,2026-07-06 14:59:40.511971+09
40,1,2,15,2026-07-06 14:59:40.511971+09
41,1,2,16,2026-07-06 14:59:40.511971+09
42,1,2,17,2026-07-06 14:59:40.511971+09
43,1,2,18,2026-07-06 14:59:40.511971+09
44,1,2,19,2026-07-06 14:59:40.511971+09
45,1,2,20,2026-07-06 14:59:40.511971+09
46,1,2,21,2026-07-06 14:59:40.511971+09
47,1,2,22,2026-07-06 14:59:40.511971+09
48,1,2,23,2026-07-06 14:59:40.511971+09
49,1,2,24,2026-07-06 14:59:40.511971+09
50,1,2,25,2026-07-06 14:59:40.511971+09
51,1,3,1,2026-07-06 14:59:40.511971+09
52,1,3,2,2026-07-06 14:59:40.511971+09
53,1,3,3,2026-07-06 14:59:40.511971+09
54,1,3,4,2026-07-06 14:59:40.511971+09
55,1,3,5,2026-07-06 14:59:40.511971+09
56,1,3,6,2026-07-06 14:59:40.511971+09
57,1,3,7,2026-07-06 14:59:40.511971+09
58,1,3,8,2026-07-06 14:59:40.511971+09
59,1,3,9,2026-07-06 14:59:40.511971+09
60,1,3,10,2026-07-06 14:59:40.511971+09
61,1,3,11,2026-07-06 14:59:40.511971+09
62,1,3,12,2026-07-06 14:59:40.511971+09
63,1,3,13,2026-07-06 14:59:40.511971+09
64,1,3,14,2026-07-06 14:59:40.511971+09
65,1,3,15,2026-07-06 14:59:40.511971+09
66,1,3,16,2026-07-06 14:59:40.511971+09
67,1,3,17,2026-07-06 14:59:40.511971+09
68,1,3,18,2026-07-06 14:59:40.511971+09
69,1,3,19,2026-07-06 14:59:40.511971+09
70,1,3,20,2026-07-06 14:59:40.511971+09
71,1,3,21,2026-07-06 14:59:40.511971+09
72,1,3,22,2026-07-06 14:59:40.511971+09
73,1,3,23,2026-07-06 14:59:40.511971+09
74,1,3,24,2026-07-06 14:59:40.511971+09
75,1,3,25,2026-07-06 14:59:40.511971+09
76,1,4,1,2026-07-06 14:59:40.511971+09
77,1,4,2,2026-07-06 14:59:40.511971+09
78,1,4,3,2026-07-06 14:59:40.511971+09
79,1,4,4,2026-07-06 14:59:40.511971+09
80,1,4,5,2026-07-06 14:59:40.511971+09
81,1,4,6,2026-07-06 14:59:40.511971+09
82,1,4,7,2026-07-06 14:59:40.511971+09
83,1,4,8,2026-07-06 14:59:40.511971+09
84,1,4,9,2026-07-06 14:59:40.511971+09
85,1,4,10,2026-07-06 14:59:40.511971+09
86,1,4,11,2026-07-06 14:59:40.511971+09
87,1,4,12,2026-07-06 14:59:40.511971+09
88,1,4,13,2026-07-06 14:59:40.511971+09
89,1,4,14,2026-07-06 14:59:40.511971+09
90,1,4,15,2026-07-06 14:59:40.511971+09
91,1,4,16,2026-07-06 14:59:40.511971+09
92,1,4,17,2026-07-06 14:59:40.511971+09
93,1,4,18,2026-07-06 14:59:40.511971+09
94,1,4,19,2026-07-06 14:59:40.511971+09
95,1,4,20,2026-07-06 14:59:40.511971+09
96,1,4,21,2026-07-06 14:59:40.511971+09
97,1,4,22,2026-07-06 14:59:40.511971+09
98,1,4,23,2026-07-06 14:59:40.511971+09
99,1,4,24,2026-07-06 14:59:40.511971+09
100,1,4,25,2026-07-06 14:59:40.511971+09
101,1,5,1,2026-07-06 14:59:40.511971+09
102,1,5,2,2026-07-06 14:59:40.511971+09
103,1,5,3,2026-07-06 14:59:40.511971+09
104,1,5,4,2026-07-06 14:59:40.511971+09
105,1,5,5,2026-07-06 14:59:40.511971+09
106,1,5,6,2026-07-06 14:59:40.511971+09
107,1,5,7,2026-07-06 14:59:40.511971+09
108,1,5,8,2026-07-06 14:59:40.511971+09
109,1,5,9,2026-07-06 14:59:40.511971+09
110,1,5,10,2026-07-06 14:59:40.511971+09
111,1,5,11,2026-07-06 14:59:40.511971+09
112,1,5,12,2026-07-06 14:59:40.511971+09
113,1,5,13,2026-07-06 14:59:40.511971+09
114,1,5,14,2026-07-06 14:59:40.511971+09
115,1,5,15,2026-07-06 14:59:40.511971+09
116,1,5,16,2026-07-06 14:59:40.511971+09
117,1,5,17,2026-07-06 14:59:40.511971+09
118,1,5,18,2026-07-06 14:59:40.511971+09
119,1,5,19,2026-07-06 14:59:40.511971+09
120,1,5,20,2026-07-06 14:59:40.511971+09
121,1,5,21,2026-07-06 14:59:40.511971+09
122,1,5,22,2026-07-06 14:59:40.511971+09
123,1,5,23,2026-07-06 14:59:40.511971+09
124,1,5,24,2026-07-06 14:59:40.511971+09
125,1,5,25,2026-07-06 14:59:40.511971+09
126,1,6,1,2026-07-06 14:59:40.511971+09
127,1,6,2,2026-07-06 14:59:40.511971+09
128,1,6,3,2026-07-06 14:59:40.511971+09
129,1,6,4,2026-07-06 14:59:40.511971+09
130,1,6,5,2026-07-06 14:59:40.511971+09
131,1,6,6,2026-07-06 14:59:40.511971+09
132,1,6,7,2026-07-06 14:59:40.511971+09
133,1,6,8,2026-07-06 14:59:40.511971+09
134,1,6,9,2026-07-06 14:59:40.511971+09
135,1,6,10,2026-07-06 14:59:40.511971+09
136,1,6,11,2026-07-06 14:59:40.511971+09
137,1,6,12,2026-07-06 14:59:40.511971+09
138,1,6,13,2026-07-06 14:59:40.511971+09
139,1,6,14,2026-07-06 14:59:40.511971+09
140,1,6,15,2026-07-06 14:59:40.511971+09
141,1,6,16,2026-07-06 14:59:40.511971+09
142,1,6,17,2026-07-06 14:59:40.511971+09
143,1,6,18,2026-07-06 14:59:40.511971+09
144,1,6,19,2026-07-06 14:59:40.511971+09
145,1,6,20,2026-07-06 14:59:40.511971+09
146,1,6,21,2026-07-06 14:59:40.511971+09
147,1,6,22,2026-07-06 14:59:40.511971+09
148,1,6,23,2026-07-06 14:59:40.511971+09
149,1,6,24,2026-07-06 14:59:40.511971+09
150,1,6,25,2026-07-06 14:59:40.511971+09
151,1,7,1,2026-07-06 14:59:40.511971+09
152,1,7,2,2026-07-06 14:59:40.511971+09
153,1,7,3,2026-07-06 14:59:40.511971+09
154,1,7,4,2026-07-06 14:59:40.511971+09
155,1,7,5,2026-07-06 14:59:40.511971+09
156,1,7,6,2026-07-06 14:59:40.511971+09
157,1,7,7,2026-07-06 14:59:40.511971+09
158,1,7,8,2026-07-06 14:59:40.511971+09
159,1,7,9,2026-07-06 14:59:40.511971+09
160,1,7,10,2026-07-06 14:59:40.511971+09
161,1,7,11,2026-07-06 14:59:40.511971+09
162,1,7,12,2026-07-06 14:59:40.511971+09
163,1,7,13,2026-07-06 14:59:40.511971+09
164,1,7,14,2026-07-06 14:59:40.511971+09
165,1,7,15,2026-07-06 14:59:40.511971+09
166,1,7,16,2026-07-06 14:59:40.511971+09
167,1,7,17,2026-07-06 14:59:40.511971+09
168,1,7,18,2026-07-06 14:59:40.511971+09
169,1,7,19,2026-07-06 14:59:40.511971+09
170,1,7,20,2026-07-06 14:59:40.511971+09
171,1,7,21,2026-07-06 14:59:40.511971+09
172,1,7,22,2026-07-06 14:59:40.511971+09
173,1,7,23,2026-07-06 14:59:40.511971+09
174,1,7,24,2026-07-06 14:59:40.511971+09
175,1,7,25,2026-07-06 14:59:40.511971+09
176,1,8,1,2026-07-06 14:59:40.511971+09
177,1,8,2,2026-07-06 14:59:40.511971+09
178,1,8,3,2026-07-06 14:59:40.511971+09
179,1,8,4,2026-07-06 14:59:40.511971+09
180,1,8,5,2026-07-06 14:59:40.511971+09
181,1,8,6,2026-07-06 14:59:40.511971+09
182,1,8,7,2026-07-06 14:59:40.511971+09
183,1,8,8,2026-07-06 14:59:40.511971+09
184,1,8,9,2026-07-06 14:59:40.511971+09
185,1,8,10,2026-07-06 14:59:40.511971+09
186,1,8,11,2026-07-06 14:59:40.511971+09
187,1,8,12,2026-07-06 14:59:40.511971+09
188,1,8,13,2026-07-06 14:59:40.511971+09
189,1,8,14,2026-07-06 14:59:40.511971+09
190,1,8,15,2026-07-06 14:59:40.511971+09
191,1,8,16,2026-07-06 14:59:40.511971+09
192,1,8,17,2026-07-06 14:59:40.511971+09
193,1,8,18,2026-07-06 14:59:40.511971+09
194,1,8,19,2026-07-06 14:59:40.511971+09
195,1,8,20,2026-07-06 14:59:40.511971+09
196,1,8,21,2026-07-06 14:59:40.511971+09
197,1,8,22,2026-07-06 14:59:40.511971+09
198,1,8,23,2026-07-06 14:59:40.511971+09
199,1,8,24,2026-07-06 14:59:40.511971+09
200,1,8,25,2026-07-06 14:59:40.511971+09
201,1,9,1,2026-07-06 14:59:40.511971+09
202,1,9,2,2026-07-06 14:59:40.511971+09
203,1,9,3,2026-07-06 14:59:40.511971+09
204,1,9,4,2026-07-06 14:59:40.511971+09
205,1,9,5,2026-07-06 14:59:40.511971+09
206,1,9,6,2026-07-06 14:59:40.511971+09
207,1,9,7,2026-07-06 14:59:40.511971+09
