id,medical_record_id,item_type,consultation_id,procedure_id,medicine_id,is_selected,status,content,memo,admin_route,is_insurance,unit_price,quantity,discount_rate,discount_amount,inventory_id,sort_order,created_at,updated_at,deleted_at,dose_weight_kg,dose_weight_source,dose_amount_mg,dose_amount_unit,dose_param_snapshot
1,1,consultation,2,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
2,1,medicine,,,1,t,completed,アモキシシリン 50mg x 7日分,"","",f,500,7.00,0.00,0,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
3,2,consultation,2,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
4,1,consultation,2,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
5,1,procedure,,13019,,t,completed,耳道洗浄（左耳）,"","",f,2500,1.00,0.00,0,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
6,2,consultation,1,,,t,completed,初診料,"","",f,2000,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
7,2,medicine,,,1,t,completed,アモキシシリン 50mg x 5日分,"","",f,500,5.00,0.00,0,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
8,3,consultation,2,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
9,21,consultation,7,,,t,completed,再診料,"","",f,900,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
10,22,consultation,6,,,t,completed,初診料,"","",f,2200,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
