id,clinic_id,name,price,is_active,description,target_size,duration,sort_order,course_type_id,created_at,updated_at,deleted_at
1,1,八王子シャンプー,0,t,既存,,,1,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,八王子カット,0,t,既存,,,2,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,八王子オプション,0,t,既存,,,3,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,八王子新規チケット,0,t,既存,,,4,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,八王子薬浴,0,t,既存,,,5,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,シャンプー&ブロー（小型）,4200,t,シャンプー・ブロー・ブラッシング,small,60,1,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,フルコース（小型）,7200,t,カット・シャンプー・ブロー・爪切り・耳掃除,small,120,2,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,フルコース（中型）,9500,t,カット・シャンプー・ブロー・爪切り・耳掃除,medium,150,3,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,3,シャンプー&ブロー（小型）,3900,t,シャンプー・ブロー・ブラッシング,small,60,1,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,3,シャンプー&ブロー（中型）,5400,t,シャンプー・ブロー・ブラッシング,medium,90,2,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,フルコース（小型）,6800,t,カット・シャンプー・ブロー・爪切り・耳掃除,small,120,3,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,2,シャンプー&ブロー（中型）,5700,t,シャンプー・ブロー・ブラッシング,medium,90,4,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,2,フルコース（大型）,12500,t,カット・シャンプー・ブロー・爪切り・耳掃除,large,180,5,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,3,シャンプー&ブロー（大型）,6800,t,シャンプー・ブロー・ブラッシング,large,120,4,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,3,フルコース（中型）,9200,t,カット・シャンプー・ブロー・爪切り・耳掃除,medium,150,5,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15001,1,八王子その他,0,t,既存,,,6,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15002,1,八王子お手入れ,0,t,既存,,,7,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15003,1,八王子ハーフ犬シャンプー,0,t,既存,,,8,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15004,1,八王子ハーフ犬カット,0,t,既存,,,9,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
