id,clinic_id,name,price,is_active,description,duration,is_combinable,sort_order,created_at,updated_at,deleted_at
1,1,爪切り,300,t,爪のカット・やすりがけ,10,t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,耳掃除,500,t,外耳道の洗浄・清掃,10,t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,歯磨き,500,t,歯ブラシによるデンタルケア,15,t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,肛門腺絞り,300,t,肛門嚢の分泌液除去,5,t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,リボン装着,200,t,仕上げのアクセサリー装着,5,t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,爪切り,320,t,爪のカット・やすりがけ,10,t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,耳掃除,520,t,外耳道の洗浄・清掃,10,t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,肛門腺絞り,320,t,肛門嚢の分泌液除去,5,t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,3,爪切り,300,t,爪のカット・やすりがけ,10,t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,3,耳掃除,500,t,外耳道の洗浄・清掃,10,t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,歯磨き,500,t,歯ブラシによるデンタルケア,15,t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,2,歯磨き,520,t,歯ブラシによるデンタルケア,15,t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,2,リボン装着,210,t,仕上げのアクセサリー装着,5,t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,3,肛門腺絞り,310,t,肛門嚢の分泌液除去,5,t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,3,リボン装着,200,t,仕上げのアクセサリー装着,5,t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
