id,clinic_id,medical_record_id,pet_id,vaccine_id,date,next_date,next_schedule_type,doctor_id,supplemental,lot1,lot2,lot3,lot4,remarks,created_at,updated_at,deleted_at
1,1,1,1,1,2025-12-20,2026-12-20,1year,1,"",LOT-2025-A001,"","","",5種混合ワクチン接種。体調良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,5,3,2,2025-11-25,2026-11-25,1year,1,"",LOT-2025-C001,"","","",3種混合ワクチン接種。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,6,3,2,2026-03-18,2027-03-18,1year,2,"",LOT-2026-C001,"","","",3種混合ワクチン追加接種。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,15,13,2,2026-03-18,2026-04-15,4weeks,1,"",LOT-2026-C003,"","","",初回3種混合（猫）。4週後に2回目接種予定。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,20,18,2,2026-03-18,2027-03-18,1year,1,"",LOT-2026-C002,"","","",3種混合ワクチン接種。体調良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,22,31,13,2025-12-30,2026-12-30,1year,17,"",LOT-2025-J001,"","","",3種混合ワクチン接種。体調良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,26,35,13,2025-11-15,2026-11-15,1year,17,"",LOT-2025-J002,"","","",3種混合ワクチン接種。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,21,29,11,2026-01-20,2027-01-20,1year,16,"",LOT-2025-J003,"","","",5種混合ワクチン接種。体調良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,3,29,39,16,2025-12-15,2026-12-15,1year,26,"",LOT-2025-S001,"","","",5種混合ワクチン接種。体調良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,3,30,40,18,2026-02-27,2027-02-27,1year,27,"",LOT-2025-S002,"","","",3種混合ワクチン接種（猫）。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,3,36,47,19,2026-04-22,2027-04-22,1year,26,"",LOT-2026-S001,"","","",5種混合ワクチン（猫）接種。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,3,29,39,20,2025-12-15,2026-12-15,1year,26,"",LOT-2025-S003,"","","",狂犬病ワクチン接種。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
