id,clinic_id,name,price,is_active,description,species,interval,inventory_id,parent_id,sort_order,created_at,updated_at,deleted_at
1,1,ワクチン犬,0,t,既存,dog,"",,12001,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,ワクチン猫,0,t,既存,cat,"",,12001,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,ワクチンエキゾ,0,t,既存,both,"",,12001,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,フィラリア予防薬,0,t,既存,both,"",,12001,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,フィラリア予防注射,0,t,既存,both,"",,12001,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,その他の予防,0,t,既存,both,"",,12001,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,定期駆虫薬,0,t,既存,both,"",,12001,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,ノミダニ予防(犬),0,t,新規 / 追加,dog,"",,12001,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,ノミダニ予防(猫),0,t,新規 / 追加,cat,"",,12001,9,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,フィラリア予防(犬),0,t,新規 / 追加,dog,"",,12001,10,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,2,混合ワクチン5種（犬）,4800,t,ジステンパー・パルボ・アデノ1型・アデノ2型・パラインフルエンザ,dog,1年,,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,2,混合ワクチン8種（犬）,6800,t,5種＋レプトスピラ3種,dog,1年,,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,2,混合ワクチン3種（猫）,4200,t,猫ウイルス性鼻気管炎・カリシウイルス・汎白血球減少症,cat,1年,,,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,2,狂犬病ワクチン,3000,t,狂犬病予防法に基づく接種,dog,1年,,,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,2,フィラリア予防薬（小型犬）,950,t,体重10kg以下犬用フィラリア予防,dog,1ヶ月,,,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,3,混合ワクチン5種（犬）,4600,t,ジステンパー・パルボ・アデノ1型・アデノ2型・パラインフルエンザ,dog,1年,,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,3,混合ワクチン10種（犬）,8200,t,5種＋レプトスピラ5種,dog,1年,,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,3,混合ワクチン3種（猫）,4100,t,猫ウイルス性鼻気管炎・カリシウイルス・汎白血球減少症,cat,1年,,,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,3,混合ワクチン5種（猫）,5600,t,3種＋猫白血病・猫クラミジア,cat,1年,,,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,3,狂犬病ワクチン,3000,t,狂犬病予防法に基づく接種,dog,1年,,,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,2,混合ワクチン10種（犬）,8200,t,5種＋レプトスピラ5種,dog,1年,,,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,2,混合ワクチン5種（猫）,5600,t,3種＋猫白血病・猫クラミジア,cat,1年,,,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,2,フィラリア予防薬（中型犬）,1100,t,体重11-25kg犬用フィラリア予防,dog,1ヶ月,,,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,2,フィラリア予防薬（大型犬）,1500,t,体重26kg以上犬用フィラリア予防,dog,1ヶ月,,,9,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,2,混合ワクチン6種（犬）,5600,t,5種＋コロナウイルス,dog,1年,,,10,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,3,混合ワクチン6種（犬）,5800,t,5種＋コロナウイルス,dog,1年,,,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,3,フィラリア予防薬（小型犬）,950,t,体重10kg以下犬用フィラリア予防,dog,1ヶ月,,,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,3,フィラリア予防薬（中型犬）,1150,t,体重11-25kg犬用フィラリア予防,dog,1ヶ月,,,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
29,3,フィラリア予防薬（大型犬）,1550,t,体重26kg以上犬用フィラリア予防,dog,1ヶ月,,,9,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,3,混合ワクチン5種（猫）プレミアム,5800,t,3種＋猫白血病・猫クラミジア（高免疫原性）,cat,1年,,,10,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12001,1,予防,0,t,予防カテゴリ,,"",,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12002,1,フィラリア予防(猫),0,t,新規 / 追加,cat,"",,12001,11,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
