id,clinic_id,pet_id,medical_record_id,daily_record_id,recorded_at,staff_id,temperature,heart_rate,respiration_rate,weight,weight_unit,notes,created_at,updated_at,deleted_at
1,1,1,3,,2026-04-01 09:15:00+09,1,38.5,80,20,26.5,Kg,皮膚の搔痒感あり。体重良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,1,2,,2026-02-24 10:00:00+09,2,38.8,82,22,26.0,Kg,体重前回比-500g,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,1,3,,2026-04-01 09:30:00+09,1,38.3,78,20,26.5,Kg,定期検診。皮膚搔痒感 軽快傾向。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,2,4,,2026-01-15 11:00:00+09,1,39.1,95,24,15.2,Kg,軽度脱水。CRT 2秒。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,3,5,,2025-11-25 14:30:00+09,2,38.2,160,30,4200,g,粘膜色やや蒼白。食欲低下継続。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,1,1,,2025-10-10 10:00:00+09,1,38.4,75,18,25.8,Kg,健康。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,1,1,1,,2025-12-20 09:00:00+09,1,38.6,80,20,26.2,Kg,ワクチン時。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,1,3,5,,2025-11-25 10:00:00+09,2,38.8,110,25,4.0,Kg,良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,1,3,6,,2026-03-18 10:00:00+09,2,38.7,115,24,4.2,Kg,ワクチン時。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,1,6,8,,2025-11-20 10:00:00+09,1,38.5,90,22,3.7,Kg,良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,1,6,8,,2026-03-12 10:00:00+09,1,38.6,92,22,3.8,Kg,定期。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,1,11,13,,2025-02-28 10:00:00+09,2,39.0,130,28,4.5,Kg,良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,1,11,13,,2025-10-15 10:00:00+09,2,38.8,125,26,4.7,Kg,定期。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,1,11,13,,2026-03-14 10:00:00+09,2,38.7,120,25,4.8,Kg,良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,1,13,15,,2026-04-25 10:00:00+09,1,38.5,110,24,3.0,Kg,良好。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,1,10,12,,2024-09-08 10:00:00+09,1,38.2,70,16,18.0,Kg,去年の。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,1,10,12,,2025-11-20 10:00:00+09,1,38.3,72,18,18.2,Kg,冬。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,1,10,12,,2026-03-12 10:00:00+09,1,38.5,75,20,18.5,Kg,春。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,1,1,91,,2026-05-22 09:00:00+09,1,38.5,78,19,26.4,Kg,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
31,1,3,61,5,2026-05-22 09:30:00+09,2,38.9,120,26,4.3,Kg,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
32,1,6,62,,2026-05-22 10:30:00+09,1,38.4,88,20,3.9,Kg,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
33,1,11,64,,2026-05-22 14:30:00+09,2,38.9,130,30,4.6,Kg,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
34,1,13,65,,2026-05-22 16:30:00+09,1,38.7,115,25,3.1,Kg,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
35,1,10,63,,2026-05-22 13:00:00+09,1,38.4,73,18,18.4,Kg,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
40,2,29,21,,2026-01-20 10:00:00+09,16,38.4,80,20,28.0,Kg,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
41,2,29,21,,2026-05-22 10:00:00+09,16,38.6,82,22,28.5,Kg,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
42,3,39,29,,2025-12-15 09:00:00+09,26,38.3,110,24,24.0,Kg,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
43,3,39,29,,2026-05-22 09:00:00+09,26,38.5,115,25,24.2,Kg,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
